Name, Theo_Area, Wet_Area, Theo_Vol, Wet_Vol
Main Wing,17.419852,17.419852,-0.011684,-0.011684
Main Wing,17.419852,0.000000,-0.011684,-0.011684
LEX,32.746470,16.373235,-0.133856,-0.133856
H Stabs,12.524209,6.262104,-1.451655,-1.451655
V Stab,80.140806,24.092631,-0.501395,-0.501395
Wingtip Hardpoints,2.424854,1.212427,-2.424854,-2.424854
Totals,162.676043,65.360249,-4.535128,-2.267564

Tag_Name, Tag_Theo_Area, Tag_Wet_Area
Main Wing_C_Surf0,17.419852,17.419852
LEX_C_Surf0,16.373235,16.373235
H Stabs_C_Surf0,6.262104,6.262104
Wingtip Hardpoints_V_Surf0,0.606213,0.606213
Wingtip Hardpoints_H_Surf0,0.606213,0.606213
Fuselage_V_Surf0,14.438034,7.219017
Cockpit_V_Surf0,6.328799,3.164399
Intakes_V_Surf0,13.665089,6.832544
Engines_V_Surf0,11.091659,5.455247
Canopy Glass_V_Surf0,2.842846,1.421423
