...Comp Geom...
10 Num Comps
53 Total Num Meshes
10454 Total Num Tris

Theo_Area   Wet_Area   Theo_Vol    Wet_Vol  Name
   17.420     17.420     -0.012     -0.012  Main Wing      
   17.420      0.000     -0.012     -0.012  Main Wing      
   32.746     16.373     -0.134     -0.134  LEX            
   12.524      6.262     -1.452     -1.452  H Stabs        
   80.141     24.093     -0.501     -0.501  V Stab         
    2.425      1.212     -2.425     -2.425  Wingtip Hardpoints
-------------------------------------------------
  162.676     65.360     -4.535     -2.268  Totals         

Tag_Theo_Area   Tag_Wet_Area    Tag_Name
       17.420         17.420    Main Wing_C_Surf0
       16.373         16.373    LEX_C_Surf0    
        6.262          6.262    H Stabs_C_Surf0
        0.606          0.606    Wingtip Hardpoints_V_Surf0
        0.606          0.606    Wingtip Hardpoints_H_Surf0
       14.438          7.219    Fuselage_V_Surf0
        6.329          3.164    Cockpit_V_Surf0
       13.665          6.833    Intakes_V_Surf0
       11.092          5.455    Engines_V_Surf0
        2.843          1.421    Canopy Glass_V_Surf0
