WARNING: 3 open meshes merged
     Merged: H Stabs
     Merged: MeshGeom
     Merged: MeshGeom
...Mass Properties...
25 Num Comps
25 Total Num Meshes
36192 Total Num Tris

3.383389293674480e+01             Total Mass
2.167328451183505e+00 3.253086002325105e-06 -1.313950255965561e-01       Center of Gravity
5.997607184590069e+01 5.451853417384251e+02 5.894937048002266e+02       Ixx, Iyy, Izz
-1.861149997680151e-02 -2.576545678093204e-01 6.626067691478325e-02       Ixy, Ixz, Iyz
3.383389293674480e+01             Volume

Name	Mass	cgX	cgY	cgZ	Ixx	Iyy	Izz	Ixy	Ixz	Iyz	Volume
Main Wing	2.437203951264576e+00	1.651039690955379e+00	1.956898928105662e+00	-1.302150578787538e-01	5.613519741016308e+00	5.050301475798872e+00	1.059105801081406e+01	2.829579438739050e+00	-1.812749075805102e-01	-3.752955915742529e-01	2.437203951264576e+00
Main Wing	2.432274348589288e+00	1.653010378227219e+00	-1.960876441699457e+00	-1.303798058854712e-01	5.604995568684751e+00	5.038472094444197e+00	1.057030964617527e+01	-2.826090982246229e+00	-1.817806523339675e-01	3.779980699386128e-01	2.432274348589288e+00
LEX	1.856596986460760e+00	2.315138119054619e-01	5.845080432340837e-01	-4.176201937257024e-02	3.879597688663117e-01	1.751134350504335e+01	1.786881433231410e+01	-4.001064643918181e-01	1.867993377722855e-02	-2.145825359669268e-02	1.856596986460760e+00
LEX	1.844772421333460e+00	2.280729035682645e-01	-5.882171635682573e-01	-4.119929730503645e-02	3.813681445889226e-01	1.740028775559430e+01	1.775006142359756e+01	3.916193146409789e-01	1.915733546871051e-02	2.458834970117958e-02	1.844772421333460e+00
H Stabs	1.800355838027163e+00	6.926992982011229e+00	9.346384398883013e-17	-3.562686138602103e-01	3.846351616892614e+00	2.661134225871812e+00	6.482377800248996e+00	-4.966306120786287e-04	-2.164403868824863e-02	2.121827962351853e-03	1.800355838027163e+00
V Stab	1.011863655481520e+00	6.204224071423160e+00	5.977995507061287e-17	9.964538106723893e-01	5.220692552658899e-01	2.051086965541097e+00	1.539651131079628e+00	2.139970903557231e-03	4.652835285130228e-01	4.114331538812300e-04	1.011863655481520e+00
Wingtip Hardpoints	1.152073444538622e-01	3.236391024299360e+00	5.613497004735770e+00	-4.019251405094570e-01	1.562810017323033e-03	7.457920886173031e-02	7.459490010293290e-02	-1.161128610667026e-04	-1.092642137057997e-04	3.491599107228902e-05	1.152073444538622e-01
Wingtip Hardpoints	1.152073444538621e-01	3.236391024299361e+00	-5.613497004735767e+00	-4.019251405094567e-01	1.538934005773708e-03	7.457466030495051e-02	7.457557264816334e-02	-3.950867256644891e-05	-1.078691541548973e-04	-2.795261871775398e-05	1.152073444538621e-01
Fuselage	1.147423565811851e+01	-1.428855308273825e-01	-1.580818529052647e-06	-1.317212119784026e-01	2.702526387531443e+00	1.894091242387380e+02	1.883964250387112e+02	2.595973714587748e-02	1.042717450138440e+00	1.312523848707795e-02	1.147423565811851e+01
Cockpit	1.466248723503800e+00	3.106544662247531e+00	-2.102780980185905e-17	6.700470790193253e-01	1.125787762374491e-01	1.157454531084546e+01	1.160848420975304e+01	7.501060133556795e-04	-3.494686431535165e-01	1.779603985583446e-03	1.466248723503800e+00
Intakes	5.672775321670453e+00	3.833799794296897e+00	-4.252503751673153e-18	-6.790940828004740e-01	2.215445759340740e+00	2.423831921078156e+01	2.555237191343166e+01	-3.093389731311348e-02	1.194769120843116e+00	3.358263274183517e-02	5.672775321670453e+00
Engines	2.651138754680175e+00	8.027600616999255e+00	6.239152652716365e-18	5.003628072678751e-02	6.889875730286124e-01	3.387540219193935e+00	3.542334420979231e+00	-6.298924496253053e-03	-1.886480197687302e-01	8.682585791692225e-03	2.651138754680175e+00
Canopy Glass	5.868473182485119e-01	-3.511195431911646e+00	1.528745573410631e-17	6.952920028604476e-01	4.726858368779027e-02	5.602651419417444e-01	5.777471828174138e-01	1.817331738439978e-03	4.430427603624591e-03	5.348118066875962e-04	5.868473182485119e-01
MeshGeom	1.315196617489501e-01	2.697338943922778e+00	2.863752884291345e+00	-1.855342666101172e-01	1.873267378249746e-01	1.680729446793369e-01	3.520592274878827e-01	5.830017940203032e-02	-2.819983765211331e-03	-1.412562811872175e-02	1.315196617489501e-01
MeshGeom	1.315730364559307e-01	2.697648573520171e+00	-2.861931426075417e+00	-1.854668851115607e-01	1.880926334049091e-01	1.681155691871511e-01	3.528627504900039e-01	-5.890020032171063e-02	-2.855062125213231e-03	1.416202223513496e-02	1.315730364559307e-01
MeshGeom	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00
MeshGeom	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00
