# DEGENERATE GEOMETRY CSV FILE

# NUMBER OF COMPONENTS
9

# DegenGeom Type, Name, SurfNdx, GeomID, MainSurfNdx, SymCopyNdx, FlipNormal,t00,t01,t02,t03,t10,t11,t12,t13,t20,t21,t22,t23,t30,t31,t32,t33
LIFTING_SURFACE,Main Wing,0,CBKKIWEXIY,0,0,1,1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 1.855300000000000082e+01, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00
# DegenGeom Type,nXsecs, nPnts/Xsec
SURFACE_NODE,11,33
# x,y,z,u,w
3.510232111285793621e+01, 0.000000000000000000e+00, -3.249915673462199228e-01, 1.000000000000000000e+00, 0.000000000000000000e+00
3.478535906783164933e+01, 0.000000000000000000e+00, -3.288656039952082555e-01, 1.000000000000000000e+00, 4.173311976788848798e-02
3.433031696247812903e+01, 0.000000000000000000e+00, -3.498398451664553321e-01, 1.000000000000000000e+00, 9.595583006934514658e-02
3.369087149242714219e+01, 0.000000000000000000e+00, -3.950682018555449204e-01, 1.000000000000000000e+00, 1.722603643809275942e-01
3.281807553462473237e+01, 0.000000000000000000e+00, -4.704166478588124312e-01, 1.000000000000000000e+00, 2.765358755368439447e-01
3.167269048518076602e+01, 0.000000000000000000e+00, -5.776141759691195698e-01, 1.000000000000000000e+00, 4.134663504172014781e-01
3.024448711873100848e+01, 0.000000000000000000e+00, -7.069740307403642454e-01, 1.000000000000000000e+00, 5.841612375912467181e-01
2.857311302782695250e+01, 0.000000000000000000e+00, -8.317776520359768666e-01, 1.000000000000000000e+00, 7.836633902842906618e-01
2.675726707823332617e+01, 0.000000000000000000e+00, -9.053097298034001872e-01, 1.000000000000000000e+00, 1.000000000000000000e+00
2.494008971812892383e+01, 0.000000000000000000e+00, -8.854144485643732354e-01, 1.000000000000000000e+00, 1.216336609715709338e+00
2.326665533599396340e+01, 0.000000000000000000e+00, -7.933240961427678872e-01, 1.000000000000000000e+00, 1.415838762408753171e+00
2.183857084484042232e+01, 0.000000000000000000e+00, -6.634896541256378732e-01, 1.000000000000000000e+00, 1.586533649582798411e+00
2.069744883867681651e+01, 0.000000000000000000e+00, -5.182942622224540052e-01, 1.000000000000000000e+00, 1.723464124463156111e+00
1.983369871124348549e+01, 0.000000000000000000e+00, -3.724453276862587647e-01, 1.000000000000000000e+00, 1.827739635619072267e+00
1.920803061604133077e+01, 0.000000000000000000e+00, -2.332848893602724738e-01, 1.000000000000000000e+00, 1.904044169930654951e+00
1.877371856572463571e+01, 0.000000000000000000e+00, -9.682411211364799764e-02, 1.000000000000000000e+00, 1.958266880232111484e+00
1.855441812422102998e+01, 0.000000000000000000e+00, 1.083305224487399743e-01, 1.000000000000000000e+00, 2.000000000000000000e+00
1.878415498606873513e+01, 0.000000000000000000e+00, 3.017267014039286543e-01, 1.000000000000000000e+00, 2.041733119767888294e+00
1.922501363208165870e+01, 0.000000000000000000e+00, 4.152703274368168551e-01, 1.000000000000000000e+00, 2.095955830069344827e+00
1.985710736551515865e+01, 0.000000000000000000e+00, 5.214951131654341765e-01, 1.000000000000000000e+00, 2.172260364380927733e+00
2.072730689687406880e+01, 0.000000000000000000e+00, 6.219389779315769307e-01, 1.000000000000000000e+00, 2.276535875536843889e+00
2.187446397466476355e+01, 0.000000000000000000e+00, 7.072136732139227000e-01, 1.000000000000000000e+00, 2.413466350417201589e+00
2.330738633533187354e+01, 0.000000000000000000e+00, 7.621300142003699651e-01, 1.000000000000000000e+00, 2.584161237591246607e+00
2.498334697046034591e+01, 0.000000000000000000e+00, 7.665133713956898687e-01, 1.000000000000000000e+00, 2.783663390284290440e+00
2.679907519071631583e+01, 0.000000000000000000e+00, 6.912776720391390350e-01, 1.000000000000000000e+00, 3.000000000000000000e+00
2.860858421494049253e+01, 0.000000000000000000e+00, 5.228123332668612733e-01, 1.000000000000000000e+00, 3.216336609715709116e+00
3.027113602887776267e+01, 0.000000000000000000e+00, 3.107067897095941444e-01, 1.000000000000000000e+00, 3.415838762408752949e+00
3.169061192055150755e+01, 0.000000000000000000e+00, 1.067778292309268517e-01, 1.000000000000000000e+00, 3.586533649582798411e+00
3.282881697445204594e+01, 0.000000000000000000e+00, -6.021761022173162392e-02, 1.000000000000000000e+00, 3.723464124463156111e+00
3.369647336275494354e+01, 0.000000000000000000e+00, -1.811414048550194500e-01, 1.000000000000000000e+00, 3.827739635619072267e+00
3.433267542571626052e+01, 0.000000000000000000e+00, -2.597737677934971456e-01, 1.000000000000000000e+00, 3.904044169930655173e+00
3.478599620471101161e+01, 0.000000000000000000e+00, -3.045343282106485194e-01, 1.000000000000000000e+00, 3.958266880232111262e+00
3.510232111285793621e+01, 0.000000000000000000e+00, -3.249915673462199228e-01, 1.000000000000000000e+00, 4.000000000000000000e+00
3.497884229351312513e+01, 1.269936347423692657e+00, -1.955957673204848368e-01, 1.199999999999999956e+00, 0.000000000000000000e+00
3.468149481918544552e+01, 1.269954137256056326e+00, -2.042801690483863342e-01, 1.199999999999999956e+00, 4.173311976788848798e-02
3.425453059978821102e+01, 1.269979709686677616e+00, -2.289146885954350674e-01, 1.199999999999999956e+00, 9.595583006934514658e-02
3.365437482736975738e+01, 1.270015712111077999e+00, -2.758194535060159991e-01, 1.199999999999999956e+00, 1.722603643809275942e-01
3.283498925843109362e+01, 1.270064939563325002e+00, -3.501471611863820610e-01, 1.199999999999999956e+00, 2.765358755368439447e-01
3.175947752771060095e+01, 1.270129627726992672e+00, -4.533234534540033778e-01, 1.199999999999999956e+00, 4.134663504172014781e-01
3.041827870460525673e+01, 1.270210334208990322e+00, -5.768500862009815489e-01, 1.199999999999999956e+00, 5.841612375912467181e-01
2.884877368443108381e+01, 1.270304755192085855e+00, -6.975123075817279972e-01, 1.199999999999999956e+00, 7.836633902842906618e-01
2.714376435121345565e+01, 1.270407262749830846e+00, -7.750348387359897728e-01, 1.199999999999999956e+00, 1.000000000000000000e+00
2.543734951037463787e+01, 1.270509895721485316e+00, -7.723930849008177058e-01, 1.199999999999999956e+00, 1.216336609715709338e+00
2.386533704311712611e+01, 1.270604629188591295e+00, -7.041173965405516100e-01, 1.199999999999999956e+00, 1.415838762408753171e+00
2.252326284839706361e+01, 1.270685675184653585e+00, -5.971792909839546137e-01, 1.199999999999999956e+00, 1.586533649582798411e+00
2.145056698782302362e+01, 1.270750539190902195e+00, -4.706607152463341270e-01, 1.199999999999999956e+00, 1.723464124463156111e+00
2.063865441160557523e+01, 1.270799600345316582e+00, -3.382406809912739676e-01, 1.199999999999999956e+00, 1.827739635619072267e+00
2.005114171477891816e+01, 1.270834872497272894e+00, -2.071513589156039059e-01, 1.199999999999999956e+00, 1.904044169930654951e+00
1.964534993164622634e+01, 1.270858505552417972e+00, -7.356725151415076380e-02, 1.199999999999999956e+00, 1.958266880232111484e+00
1.944442434849018397e+01, 1.270868774400105261e+00, 1.243606894511058991e-01, 1.199999999999999956e+00, 2.000000000000000000e+00
1.965290606584840916e+01, 1.270858666563029704e+00, 3.134653778365370513e-01, 1.199999999999999956e+00, 2.041733119767888294e+00
2.006335157129582925e+01, 1.270835151992348200e+00, 4.300658956218564866e-01, 1.199999999999999956e+00, 2.095955830069344827e+00
2.065552172015718924e+01, 1.270799977920277435e+00, 5.368240115337021834e-01, 1.199999999999999956e+00, 2.172260364380927733e+00
2.147219507035754660e+01, 1.270750997727625453e+00, 6.357275268195120566e-01, 1.199999999999999956e+00, 2.276535875536843889e+00
2.254943480197624339e+01, 1.270686191422364608e+00, 7.180228171441339624e-01, 1.199999999999999956e+00, 2.413466350417201589e+00
2.389525390785981429e+01, 1.270605170884276935e+00, 7.696674201967648177e-01, 1.199999999999999956e+00, 2.584161237591246607e+00
2.546934979250172049e+01, 1.270510424744472955e+00, 7.732034983914263249e-01, 1.199999999999999956e+00, 2.783663390284290440e+00
2.717484568630376174e+01, 1.270407742969301701e+00, 7.056199128429571088e-01, 1.199999999999999956e+00, 3.000000000000000000e+00
2.887515203280260323e+01, 1.270305160986763271e+00, 5.580237689060585371e-01, 1.199999999999999956e+00, 3.216336609715709116e+00
3.043802053101392602e+01, 1.270210654463276079e+00, 3.729301856466128440e-01, 1.199999999999999956e+00, 3.415838762408752949e+00
3.177264965408290465e+01, 1.270129864272266262e+00, 1.943729279662760878e-01, 1.199999999999999956e+00, 3.586533649582798411e+00
3.284277939315541772e+01, 1.270065102607388585e+00, 4.706526470241689797e-02, 1.199999999999999956e+00, 3.723464124463156111e+00
3.365834724964764746e+01, 1.270015815473120036e+00, -6.090163323043185084e-02, 1.199999999999999956e+00, 3.827739635619072267e+00
3.425613367618092298e+01, 1.269979767287758410e+00, -1.324663436301888875e-01, 1.199999999999999956e+00, 3.904044169930655173e+00
3.468188648551380737e+01, 1.269954161223463940e+00, -1.746643582308971820e-01, 1.199999999999999956e+00, 3.958266880232111262e+00
3.497884229351312513e+01, 1.269936347423692657e+00, -1.955957673204848368e-01, 1.199999999999999956e+00, 4.000000000000000000e+00
3.485536347416831404e+01, 2.539872694847385315e+00, -6.619996729474975083e-02, 1.399999999999999911e+00, 0.000000000000000000e+00
3.457763057053924172e+01, 2.539908274512112651e+00, -7.969473410156437121e-02, 1.399999999999999911e+00, 4.173311976788848798e-02
3.417874423709830012e+01, 2.539959419373355232e+00, -1.079895320244148305e-01, 1.399999999999999911e+00, 9.595583006934514658e-02
3.361787816231237258e+01, 2.540031424222155998e+00, -1.565707051564870778e-01, 1.399999999999999911e+00, 1.722603643809275942e-01
3.285190298223745486e+01, 2.540129879126650003e+00, -2.298776745139516631e-01, 1.399999999999999911e+00, 2.765358755368439447e-01
3.184626457024043944e+01, 2.540259255453985343e+00, -3.290327309388871857e-01, 1.399999999999999911e+00, 4.134663504172014781e-01
3.059207029047950499e+01, 2.540420668417980643e+00, -4.467261416615989078e-01, 1.399999999999999911e+00, 5.841612375912467181e-01
2.912443434103521156e+01, 2.540609510384171710e+00, -5.632469631274791277e-01, 1.399999999999999911e+00, 7.836633902842906618e-01
2.753026162419357803e+01, 2.540814525499661691e+00, -6.447599476685794695e-01, 1.399999999999999911e+00, 1.000000000000000000e+00
2.593460930262035902e+01, 2.541019791442970632e+00, -6.593717212372620651e-01, 1.399999999999999911e+00, 1.216336609715709338e+00
2.446401875024028527e+01, 2.541209258377182589e+00, -6.149106969383355548e-01, 1.399999999999999911e+00, 1.415838762408753171e+00
2.320795485195370844e+01, 2.541371350369307169e+00, -5.308689278422715763e-01, 1.399999999999999911e+00, 1.586533649582798411e+00
2.220368513696923074e+01, 2.541501078381804390e+00, -4.230271682702143043e-01, 1.399999999999999911e+00, 1.723464124463156111e+00
2.144361011196766853e+01, 2.541599200690633165e+00, -3.040360342962892259e-01, 1.399999999999999911e+00, 1.827739635619072267e+00
2.089425281351650554e+01, 2.541669744994545788e+00, -1.810178284709352825e-01, 1.399999999999999911e+00, 1.904044169930654951e+00
2.051698129756781697e+01, 2.541717011104835944e+00, -5.031039091465352997e-02, 1.399999999999999911e+00, 1.958266880232111484e+00
2.033443057275933796e+01, 2.541737548800210522e+00, 1.403908564534718240e-01, 1.399999999999999911e+00, 2.000000000000000000e+00
2.052165714562808319e+01, 2.541717333126059408e+00, 3.252040542691454483e-01, 1.399999999999999911e+00, 2.041733119767888294e+00
2.090168951050999624e+01, 2.541670303984696400e+00, 4.448614638068960070e-01, 1.399999999999999911e+00, 2.095955830069344827e+00
2.145393607479922338e+01, 2.541599955840554870e+00, 5.521529099019703013e-01, 1.399999999999999911e+00, 2.172260364380927733e+00
2.221708324384102085e+01, 2.541501995455250906e+00, 6.495160757074471825e-01, 1.399999999999999911e+00, 2.276535875536843889e+00
2.322440562928771968e+01, 2.541372382844729216e+00, 7.288319610743452248e-01, 1.399999999999999911e+00, 2.413466350417201589e+00
2.448312148038775860e+01, 2.541210341768553871e+00, 7.772048261931596702e-01, 1.399999999999999911e+00, 2.584161237591246607e+00
2.595535261454308795e+01, 2.541020849488945910e+00, 7.798936253871626700e-01, 1.399999999999999911e+00, 2.783663390284290440e+00
2.755061618189120054e+01, 2.540815485938603402e+00, 7.199621536467751826e-01, 1.399999999999999911e+00, 3.000000000000000000e+00
2.914171985066471393e+01, 2.540610321973526542e+00, 5.932352045452555789e-01, 1.399999999999999911e+00, 3.216336609715709116e+00
3.060490503315009292e+01, 2.540421308926552157e+00, 4.351535815836315990e-01, 1.399999999999999911e+00, 3.415838762408752949e+00
3.185468738761429819e+01, 2.540259728544532525e+00, 2.819680267016252961e-01, 1.399999999999999911e+00, 3.586533649582798411e+00
3.285674181185878950e+01, 2.540130205214777170e+00, 1.543481396265654337e-01, 1.399999999999999911e+00, 3.723464124463156111e+00
3.362022113654035138e+01, 2.540031630946240071e+00, 5.933813839415573443e-02, 1.399999999999999911e+00, 3.827739635619072267e+00
3.417959192664559254e+01, 2.539959534575516820e+00, -5.158919466880601545e-03, 1.399999999999999911e+00, 3.904044169930655173e+00
3.457777676631661024e+01, 2.539908322446927880e+00, -4.479438825114584466e-02, 1.399999999999999911e+00, 3.958266880232111262e+00
3.485536347416831404e+01, 2.539872694847385315e+00, -6.619996729474975083e-02, 1.399999999999999911e+00, 4.000000000000000000e+00
3.473188465482351006e+01, 3.809809042271079083e+00, 6.319583273098550169e-02, 1.600000000000000089e+00, 0.000000000000000000e+00
3.447376632189303791e+01, 3.809862411768170087e+00, 4.489070084525767501e-02, 1.600000000000000089e+00, 4.173311976788848798e-02
3.410295787440837501e+01, 3.809939129060034624e+00, 1.293562454660554528e-02, 1.600000000000000089e+00, 9.595583006934514658e-02
3.358138149725499488e+01, 3.810047136333235329e+00, -3.732195680695808704e-02, 1.600000000000000089e+00, 1.722603643809275942e-01
