WARNING: 3 open meshes merged
     Merged: Main Wing
     Merged: HStab
     Merged: LERX
...Mass Properties...
26 Num Comps
26 Total Num Meshes
20880 Total Num Tris

1.347825348297244e+03             Total Mass
2.856752122689354e+01 -3.137247868526453e-03 2.951409946494702e-01       Center of Gravity
2.502444233302613e+04 2.415018042169544e+05 2.611639724962569e+05       Ixx, Iyy, Izz
8.815095761866786e+01 -1.561024185925985e+03 5.335253716364752e+01       Ixy, Ixz, Iyz
1.347825348297244e+03             Volume

Name	Mass	cgX	cgY	cgZ	Ixx	Iyy	Izz	Ixy	Ixz	Iyz	Volume
Main Wing	2.747778037135299e+02	3.183075594483353e+01	-2.337495120205892e-15	1.811590534006861e-01	1.823119909059085e+04	3.906734022636042e+03	2.206800789193693e+04	7.998671692097195e-01	7.371362920710980e+01	3.406393178418814e+00	2.747778037135299e+02
VStab	3.721848390770254e+01	4.690432880482777e+01	2.468233477790826e-16	3.414820725080078e+00	2.486575363660234e+02	6.622130307923898e+02	4.179246343415323e+02	5.214757569030365e-01	2.245707815356106e+02	4.014858027525139e-02	3.721848390770254e+01
VStab	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00
HStab	6.827200359309803e+01	4.877429915709454e+01	6.006092549785705e-16	-1.161782116916745e+00	1.355878679775261e+03	6.919000153934059e+02	2.039655270248637e+03	2.631841398465661e-01	-6.533728267017725e+00	8.439889404761619e-01	6.827200359309803e+01
LERX	4.240899819275799e+01	2.362131237044873e+01	4.515868799290417e-17	1.004230745702402e-01	7.900759704440794e+02	2.393940037420174e+02	1.023346895715630e+03	1.356909380151047e-01	1.979695605416355e+00	7.459284397989474e-01	4.240899819275799e+01
Fuselage	6.848073959450070e+02	3.023183872316327e+01	-5.361777807794601e-16	7.416057442140872e-02	2.523372345906803e+03	1.053855223262567e+05	1.050781809870025e+05	-8.227030982022248e+00	7.792381766175838e+02	2.974173692963663e+01	6.848073959450070e+02
F135	3.718691145934853e+01	1.225360484835958e+01	-1.687837313663416e-01	5.573110824294036e-01	1.374402502861196e+02	6.996982042685853e+03	7.001625280091010e+03	3.804026172554385e+01	1.299588406688087e+02	-9.901898378901196e+00	3.718691145934853e+01
Main Fan	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00
Main Fan	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00
Main Fan	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00
Main Fan	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00
Main Fan	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00
Main Fan	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00
Main Fan	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00
Main Fan	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00
Main Fan	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00
Main Fan	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00
Main Fan	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00
Main Fan	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00
Main Fan	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00
Main Fan	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00
Main Fan	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00
Fan Diffuser	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00
Dual Air Intakes	1.185595930489630e+02	9.928045986018313e+00	-1.044642024327390e+00	9.107707340352741e-01	4.061178301643619e+02	7.546786384787047e+03	7.796294680659283e+03	-6.071309229509162e+02	-9.061680636616032e+01	6.194170949024326e+01	1.185595930489630e+02
Dual Air Intakes	5.909435895532242e+01	1.470432047209419e+01	2.125517920185013e+00	6.434297340586979e-01	1.181957827530067e+02	3.862145940852452e+03	3.923585775921909e+03	-2.183688858662703e+00	2.863342915795317e+01	-2.895698160091951e-01	5.909435895532242e+01
Canopy Glass	2.549979948151494e+01	1.865084303558364e+01	1.154118164489979e-02	3.077273797203235e+00	1.830261057204778e+01	2.080511360848119e+02	2.136601658507448e+02	-7.841207370537389e-01	4.572511914802265e-01	1.508295526958497e-01	2.549979948151494e+01
Name	Mass	cgX	cgY	cgZ	Ixx	Iyy	Izz	Ixy	Ixz	Iyz	Volume
Totals	1.347825348297244e+03	2.856752122689354e+01	-3.137247868526453e-03	2.951409946494702e-01	2.502444233302613e+04	2.415018042169544e+05	2.611639724962569e+05	8.815095761866786e+01	-1.561024185925985e+03	5.335253716364752e+01	1.347825348297244e+03

...Filling Mass Properties (Volume Only -- No Shell or Point Mass)...
20 Num Slice

Slice	Mass	cgX	cgY	cgZ	Ixx	Iyy	Izz	Ixy	Ixz	Iyz	Volume
1.396028644240263e+00	4.608254756862728e+01	1.396028644240262e+00	-7.261102516131918e-03	4.995481870000004e-01	1.630489450991717e+02	1.195027276022316e+02	1.931868180299996e+02	-3.242616717130504e+00	-5.818136613288625e-01	2.070187932970458e+00	4.608254756862728e+01
4.187685932720782e+00	8.961210541565629e+01	2.752091051928788e+00	-1.588341010678582e-02	5.416255976425755e-01	3.116159754711125e+02	4.028611171465949e+02	5.486517689405554e+02	-6.550436203982592e+00	4.495752593853508e+00	5.145888551529632e+00	8.961210541565629e+01
6.979343221201301e+00	1.327727373502383e+02	4.126250225068008e+00	-2.049433210984592e-02	5.612775150478716e-01	4.584021071418247e+02	1.030491344059144e+03	1.249058771101132e+03	-1.015662422828673e+01	1.151269066542681e+01	8.856964487003468e+00	1.327727373502383e+02
9.771000509681821e+00	1.782416208542203e+02	5.566208478758329e+00	-2.180709832957533e-02	5.469922748180855e-01	6.144306778514185e+02	2.228642649349158e+03	2.512991921179091e+03	-1.225672805360721e+01	4.432251785003538e-01	1.255228003157847e+01	1.782416208542203e+02
1.256265779816234e+01	2.248498662570891e+02	7.016474971043760e+00	-2.050263809819483e-02	5.042006453781182e-01	7.780205595411982e+02	4.167271301757586e+03	4.506435029400159e+03	-1.171936514921014e+01	-5.321919325803709e+01	1.685519664557607e+01	2.248498662570891e+02
1.535431508664286e+01	2.807972756655444e+02	8.677746624851713e+00	-1.562071098162128e-02	5.077764084779726e-01	9.977034055782082e+02	7.479130980317435e+03	7.824910983036291e+03	-3.392615241938282e+00	-4.683437349588778e+01	2.179401903291350e+01	2.807972756655444e+02
1.814597237512338e+01	3.428810998020575e+02	1.039211251642176e+01	-1.347810680644014e-02	5.379940580303491e-01	1.276735446082588e+03	1.229827479951541e+04	1.260220421883544e+04	1.061325203578608e+00	3.320271179416427e+01	2.686613677411951e+01	3.428810998020575e+02
