Name, Theo_Area, Wet_Area, Theo_Vol, Wet_Vol
Main Wing,384.251853,297.878312,137.592053,-179.556617
Main Wing,384.251853,297.878312,137.592053,-179.556617
VStab,154.095942,53.410857,37.156146,-21.679744
VStab,154.095942,53.231801,37.156146,-21.607065
HStab,144.219803,120.168275,34.475677,-48.357393
HStab,144.219803,120.168275,34.475677,-48.357393
LERX,166.176046,80.185035,19.473721,-15.818270
Wing hardpoints,22.619903,17.042408,4.310773,-5.467396
Wing hardpoints,22.619903,17.042408,4.310773,-5.467396
A2A - AIM 120C (fuse mounted),20.558413,5.231905,2.825308,-1.210379
A2A - AIM 120C (fuse mounted),20.558413,5.231905,2.825308,-1.210379
AIM 120C (inboard),20.558413,9.081266,2.825308,-2.100912
AIM 120C (inboard),20.558413,9.081266,2.825308,-2.100912
AIM 120C (outboard),20.558413,20.272884,2.825308,-4.690044
AIM 120C (outboard),20.558413,20.272884,2.825308,-4.690044
AIM 9X (outboard),11.099293,5.034567,0.965864,-0.737510
AIM 9X (outboard),11.099293,5.304634,0.965864,-0.777072
STRK - MK83 JDAM (fuse mounted),29.908088,18.646849,7.681417,-8.062009
STRK - MK83 JDAM (fuse mounted),29.908088,18.646849,7.681417,-8.062009
STRK - MK83 JDAM (wing mounted),29.908088,25.116223,7.681417,-10.859058
STRK - MK83 JDAM (wing mounted),29.908088,25.116223,7.681417,-10.859058
AIM 9X (outboard),11.099293,4.767308,0.965864,-0.698360
AIM 9X (outboard),11.099293,5.320120,0.965864,-0.779341
Drop tank,106.016999,37.380273,61.307686,-36.388741
Drop tank,106.016999,40971606234390.726562,61.307686,-39884812655014.140625
Fuselage,649.020468,385.385302,719.384221,-719.089274
F135-PW-100 ENGINE,212.796193,57.084281,165.577917,-74.772215
Main Fan,1.042877,0.000000,0.012391,0.000000
Main Fan,1.042877,0.000000,0.012391,0.000000
Main Fan,1.042877,0.000000,0.012391,0.000000
Main Fan,1.042877,0.000000,0.012391,0.000000
Main Fan,1.042877,0.000000,0.012391,0.000000
Main Fan,1.042877,0.000000,0.012391,0.000000
Main Fan,1.042877,0.000000,0.012391,0.000000
Main Fan,1.042877,0.000000,0.012391,0.000000
Main Fan,1.042877,0.000000,0.012391,0.000000
Main Fan,1.042877,0.000000,0.012391,0.000000
Main Fan,1.042877,0.000000,0.012391,0.000000
Main Fan,1.042877,0.000000,0.012391,0.000000
Main Fan,1.042877,0.000000,0.012391,0.000000
Main Fan,1.042877,0.000000,0.012391,0.000000
Main Fan,1.042877,0.000000,0.012391,0.000000
Fan Diffuser,9.815618,0.000000,1.436626,0.000000
FADEC,19.500113,0.000000,5.450009,0.000000
Dual Air Intakes,116.548503,25.414519,-17.209948,-17.209948
Dual Air Intakes,116.548503,25.414519,-17.209948,-17.209948
Canopy,112.774024,43.322589,73.272019,-47.383663
Pilot,19.866350,0.000000,2.743619,0.000000
Seat,4.567988,0.000000,0.420063,0.000000
Seat,7.437316,0.000000,0.718569,0.000000
AN-APG-85 RADAR,44.770869,0.000000,19.941801,0.000000
GAU-22-A CANNON,17.965960,0.000000,5.380105,0.000000
Cannon barrels,7.283596,3.195391,0.396869,-0.293096
AN-ASQ-242 CNI RADIO-IFF,36.550813,0.000000,15.220952,0.000000
Primary active control module,26.188838,0.000000,9.089214,0.000000
Secondary active control module,26.188838,0.000000,9.089214,0.000000
Fuselage fuel tank,77.807253,0.000000,26.710000,0.000000
Inflight refuel probe,13.501899,0.000000,1.565518,0.000000
Wing fuel tanks,142.836020,0.000000,24.857289,0.000000
Wing fuel tanks,142.836020,0.000000,24.857289,0.000000
Primary hydraulic pump,21.527713,0.000000,6.687139,0.000000
Secondary hydraulic pump,21.527713,0.640510,6.687139,-0.334929
Totals,3939.468818,40971606236202.687500,1705.950897,-39884812656509.531250

Tag_Name, Tag_Theo_Area, Tag_Wet_Area
Main Wing_S_Surf0,287.763141,201.645739
Main Wing_S_Surf1,287.763141,201.645739
VStab_S_Surf0,132.689708,42.800215
VStab_S_Surf1,132.689708,42.455624
HStab_S_Surf0,120.626071,96.574543
HStab_S_Surf1,120.626071,96.574543
LERX_S_Surf0,83.088023,40.092517
LERX_S_Surf1,83.088023,40.092517
Wing hardpoints_S_Surf0,22.619903,17.042408
Wing hardpoints_S_Surf1,22.619903,17.042408
A2A - AIM 120C (fuse mounted)_S_Surf0,20.558413,5.231905
A2A - AIM 120C (fuse mounted)_S_Surf1,20.558413,5.231905
AIM 120C (inboard)_S_Surf0,20.558413,9.081266
AIM 120C (inboard)_S_Surf1,20.558413,9.081266
AIM 120C (outboard)_S_Surf0,20.558413,20.272884
AIM 120C (outboard)_S_Surf1,20.558413,20.272884
AIM 9X (outboard)_S_Surf0,11.099293,5.034567
AIM 9X (outboard)_S_Surf1,11.099293,5.304634
STRK - MK83 JDAM (fuse mounted)_S_Surf0,29.908088,18.646849
STRK - MK83 JDAM (fuse mounted)_S_Surf1,29.908088,18.646849
STRK - MK83 JDAM (wing mounted)_S_Surf0,29.908088,25.116223
STRK - MK83 JDAM (wing mounted)_S_Surf1,29.908088,25.116223
AIM 9X (outboard)_S_Surf0,11.099293,4.767308
AIM 9X (outboard)_S_Surf1,11.099293,5.320120
Drop tank_S_Surf0,106.016999,37.380273
Drop tank_S_Surf1,106.016999,40971606234390.726562
Fuselage_S_Surf0,649.020468,385.385302
F135-PW-100 ENGINE_S_Surf0,212.796193,57.084281
Main Fan_S_Surf0,1.042877,0.000000
Main Fan_S_Surf1,1.042877,0.000000
Main Fan_S_Surf2,1.042877,0.000000
Main Fan_S_Surf3,1.042877,0.000000
Main Fan_S_Surf4,1.042877,0.000000
Main Fan_S_Surf5,1.042877,0.000000
Main Fan_S_Surf6,1.042877,0.000000
Main Fan_S_Surf7,1.042877,0.000000
Main Fan_S_Surf8,1.042877,0.000000
Main Fan_S_Surf9,1.042877,0.000000
Main Fan_S_Surf10,1.042877,0.000000
Main Fan_S_Surf11,1.042877,0.000000
Main Fan_S_Surf12,1.042877,0.000000
Main Fan_S_Surf13,1.042877,0.000000
Main Fan_S_Surf14,1.042877,0.000000
Fan Diffuser_S_Surf0,9.815618,0.000000
FADEC_S_Surf0,19.500113,0.000000
Dual Air Intakes_S_Surf0,116.548503,25.414519
Dual Air Intakes_S_Surf1,116.548503,25.414519
Canopy_S_Surf0,112.774024,43.322589
Pilot_S_Surf0,19.866350,0.000000
Seat_S_Surf0,4.567988,0.000000
Seat_S_Surf1,7.437316,0.000000
AN-APG-85 RADAR_S_Surf0,44.770869,0.000000
GAU-22-A CANNON_S_Surf0,17.965960,0.000000
Cannon barrels_S_Surf0,7.283596,3.195391
AN-ASQ-242 CNI RADIO-IFF_S_Surf0,36.550813,0.000000
Primary active control module_S_Surf0,26.188838,0.000000
Secondary active control module_S_Surf0,26.188838,0.000000
Fuselage fuel tank_S_Surf0,77.807253,0.000000
Inflight refuel probe_S_Surf0,13.501899,0.000000
Wing fuel tanks_S_Surf0,142.836020,0.000000
Wing fuel tanks_S_Surf1,142.836020,0.000000
Primary hydraulic pump_S_Surf0,21.527713,0.000000
Secondary hydraulic pump_S_Surf0,21.527713,0.640510
Main Wing_S_Surf0,Inboard flaps,23.328188,23.089127
Main Wing_S_Surf0,Flaperons,24.338636,24.338636
Main Wing_S_Surf0,Ailerons,23.788137,23.788137
Main Wing_S_Surf0,LE Slats,25.033751,25.016673
Main Wing_S_Surf1,Inboard flaps,23.328188,23.089127
Main Wing_S_Surf1,Flaperons,24.338636,24.338636
Main Wing_S_Surf1,Ailerons,23.788137,23.788137
Main Wing_S_Surf1,LE Slats,25.033751,25.016673
VStab_S_Surf0,Lower Rudder,11.124588,5.509765
