Name, Theo_Area, Wet_Area, Theo_Vol, Wet_Vol
Main Wing,384.251348,297.877982,137.591782,137.591782
Main Wing,384.251348,297.877982,137.591782,137.591782
VStab,154.095942,53.305168,37.156146,17.436199
VStab,154.095942,53.141463,37.156146,17.382651
HStab,144.219803,120.168275,34.475677,34.475677
HStab,144.219803,120.168275,34.475677,34.475677
LERX,166.176046,80.185042,19.473721,12.747262
Wing hardpoints,22.619903,17.042413,4.310773,4.310773
Wing hardpoints,22.619903,17.042413,4.310773,4.310773
A2A - AIM 120C (fuse mounted),20.558413,5.231905,2.825308,0.975392
A2A - AIM 120C (fuse mounted),20.558413,5.231905,2.825308,0.975392
AIM 120C (inboard),20.558413,9.081266,2.825308,1.693034
AIM 120C (inboard),20.558413,9.081266,2.825308,1.693034
AIM 120C (outboard),20.558413,20.272884,2.825308,2.825308
AIM 120C (outboard),20.558413,20.272884,2.825308,2.825308
AIM 9X (outboard),11.099293,4.946919,0.965864,0.583981
AIM 9X (outboard),11.099293,5.139906,0.965864,0.606763
STRK - MK83 JDAM (fuse mounted),29.908088,18.646861,7.681417,6.496829
STRK - MK83 JDAM (fuse mounted),29.908088,18.646861,7.681417,6.496829
STRK - MK83 JDAM (wing mounted),29.908088,25.116223,7.681417,7.681417
STRK - MK83 JDAM (wing mounted),29.908088,25.116223,7.681417,7.681417
AIM 9X (outboard),11.099293,4.619953,0.965864,0.545383
AIM 9X (outboard),11.099293,5.115867,0.965864,0.603925
Fuselage,649.020468,411.731512,719.384221,619.098363
F135-PW-100 ENGINE,212.796193,57.084281,165.577917,60.255699
Main Fan,1.042877,0.000000,0.012391,0.000000
Main Fan,1.042877,0.000000,0.012391,0.000000
Main Fan,1.042877,0.000000,0.012391,0.000000
Main Fan,1.042877,0.000000,0.012391,0.000000
Main Fan,1.042877,0.000000,0.012391,0.000000
Main Fan,1.042877,0.000000,0.012391,0.000000
Main Fan,1.042877,0.000000,0.012391,0.000000
Main Fan,1.042877,0.000000,0.012391,0.000000
Main Fan,1.042877,0.000000,0.012391,0.000000
Main Fan,1.042877,0.000000,0.012391,0.000000
Main Fan,1.042877,0.000000,0.012391,0.000000
Main Fan,1.042877,0.000000,0.012391,0.000000
Main Fan,1.042877,0.000000,0.012391,0.000000
Main Fan,1.042877,0.000000,0.012391,0.000000
Main Fan,1.042877,0.000000,0.012391,0.000000
Fan Diffuser,9.815618,0.000000,1.436626,0.000000
FADEC,19.500113,0.000000,5.450009,0.000000
Dual Air Intakes,116.548503,25.414522,-17.209948,-17.435341
Dual Air Intakes,116.548503,25.414522,-17.209948,-17.435341
Canopy,112.774024,43.322589,73.272019,38.184448
Pilot,19.866350,0.000000,2.743619,0.000000
Seat,4.567988,0.000000,0.420063,0.000000
Seat,7.437316,0.000000,0.718569,0.000000
AN-APG-85 RADAR,44.770869,0.000000,19.941801,0.000000
GAU-22-A CANNON,17.965960,0.000000,5.380105,0.000000
Cannon barrels,7.283596,3.195391,0.396869,0.236194
AN-ASQ-242 CNI RADIO-IFF,36.550813,0.000000,15.220952,0.000000
Primary active control module,26.188838,0.000000,9.089214,0.000000
Secondary active control module,26.188838,0.000000,9.089214,0.000000
Fuselage fuel tank,77.807253,0.000000,26.710000,0.000000
Inflight refuel probe,13.501899,0.000000,1.565518,0.000000
Wing fuel tanks,142.836020,0.000000,24.857289,0.000000
Wing fuel tanks,142.836020,0.000000,24.857289,0.000000
Primary hydraulic pump,21.527713,0.000000,6.687139,0.000000
Secondary hydraulic pump,21.527713,0.640510,6.687139,0.269905
Totals,3727.433809,1800.133262,1583.334983,1125.180522

Tag_Name, Tag_Theo_Area, Tag_Wet_Area
Main Wing_S_Surf0,287.762762,201.645542
Main Wing_S_Surf1,287.762762,201.645542
VStab_S_Surf0,132.689708,42.619142
VStab_S_Surf1,132.689708,42.484828
HStab_S_Surf0,120.626071,96.574543
HStab_S_Surf1,120.626071,96.574543
LERX_S_Surf0,83.088023,40.092521
LERX_S_Surf1,83.088023,40.092521
Wing hardpoints_S_Surf0,22.619903,17.042413
Wing hardpoints_S_Surf1,22.619903,17.042413
A2A - AIM 120C (fuse mounted)_S_Surf0,20.558413,5.231905
A2A - AIM 120C (fuse mounted)_S_Surf1,20.558413,5.231905
AIM 120C (inboard)_S_Surf0,20.558413,9.081266
AIM 120C (inboard)_S_Surf1,20.558413,9.081266
AIM 120C (outboard)_S_Surf0,20.558413,20.272884
AIM 120C (outboard)_S_Surf1,20.558413,20.272884
AIM 9X (outboard)_S_Surf0,11.099293,4.946919
AIM 9X (outboard)_S_Surf1,11.099293,5.139906
STRK - MK83 JDAM (fuse mounted)_S_Surf0,29.908088,18.646861
STRK - MK83 JDAM (fuse mounted)_S_Surf1,29.908088,18.646861
STRK - MK83 JDAM (wing mounted)_S_Surf0,29.908088,25.116223
STRK - MK83 JDAM (wing mounted)_S_Surf1,29.908088,25.116223
AIM 9X (outboard)_S_Surf0,11.099293,4.619953
AIM 9X (outboard)_S_Surf1,11.099293,5.115867
Fuselage_S_Surf0,649.020468,411.731512
F135-PW-100 ENGINE_S_Surf0,212.796193,57.084281
Main Fan_S_Surf0,1.042877,0.000000
Main Fan_S_Surf1,1.042877,0.000000
Main Fan_S_Surf2,1.042877,0.000000
Main Fan_S_Surf3,1.042877,0.000000
Main Fan_S_Surf4,1.042877,0.000000
Main Fan_S_Surf5,1.042877,0.000000
Main Fan_S_Surf6,1.042877,0.000000
Main Fan_S_Surf7,1.042877,0.000000
Main Fan_S_Surf8,1.042877,0.000000
Main Fan_S_Surf9,1.042877,0.000000
Main Fan_S_Surf10,1.042877,0.000000
Main Fan_S_Surf11,1.042877,0.000000
Main Fan_S_Surf12,1.042877,0.000000
Main Fan_S_Surf13,1.042877,0.000000
Main Fan_S_Surf14,1.042877,0.000000
Fan Diffuser_S_Surf0,9.815618,0.000000
FADEC_S_Surf0,19.500113,0.000000
Dual Air Intakes_S_Surf0,116.548503,25.414522
Dual Air Intakes_S_Surf1,116.548503,25.414522
Canopy_S_Surf0,112.774024,43.322589
Pilot_S_Surf0,19.866350,0.000000
Seat_S_Surf0,4.567988,0.000000
Seat_S_Surf1,7.437316,0.000000
AN-APG-85 RADAR_S_Surf0,44.770869,0.000000
GAU-22-A CANNON_S_Surf0,17.965960,0.000000
Cannon barrels_S_Surf0,7.283596,3.195391
AN-ASQ-242 CNI RADIO-IFF_S_Surf0,36.550813,0.000000
Primary active control module_S_Surf0,26.188838,0.000000
Secondary active control module_S_Surf0,26.188838,0.000000
Fuselage fuel tank_S_Surf0,77.807253,0.000000
Inflight refuel probe_S_Surf0,13.501899,0.000000
Wing fuel tanks_S_Surf0,142.836020,0.000000
Wing fuel tanks_S_Surf1,142.836020,0.000000
Primary hydraulic pump_S_Surf0,21.527713,0.000000
Secondary hydraulic pump_S_Surf0,21.527713,0.640510
Main Wing_S_Surf0,Inboard flaps,23.328157,23.089085
Main Wing_S_Surf0,Flaperons,24.338604,24.338604
Main Wing_S_Surf0,Ailerons,23.788106,23.788106
Main Wing_S_Surf0,LE Slats,25.033719,25.016645
Main Wing_S_Surf1,Inboard flaps,23.328157,23.089085
Main Wing_S_Surf1,Flaperons,24.338604,24.338604
Main Wing_S_Surf1,Ailerons,23.788106,23.788106
Main Wing_S_Surf1,LE Slats,25.033719,25.016645
