WARNING: 3 open meshes merged
     Merged: Main Wing
     Merged: HStab
     Merged: LERX
...Mass Properties...
60 Num Comps
60 Total Num Meshes
51856 Total Num Tris

1.273432640527971e+03             Total Mass
2.408794901353383e+01 3.464725023598797e-03 6.819298935034950e-03       Center of Gravity
2.720494074389293e+04 1.804988489147481e+05 2.014925654883151e+05       Ixx, Iyy, Izz
-7.774922882939462e+01 2.334714032755478e+01 3.806194582431203e+01       Ixy, Ixz, Iyz
1.273432640527971e+03             Volume

Name	Mass	cgX	cgY	cgZ	Ixx	Iyy	Izz	Ixy	Ixz	Iyz	Volume
Main Wing	2.794391876332423e+02	2.800124623087063e+01	-2.577203164124041e-07	1.781013855631516e-01	1.842963742426323e+04	5.033408192118594e+03	2.338815643245633e+04	-5.681591359746684e+00	5.886056661949441e+01	6.439711726007556e+00	2.794391876332423e+02
VStab	3.825217703160315e+01	4.024396753989834e+01	3.260074159341418e-16	3.274665265075678e+00	2.549562649498601e+02	8.534915082746637e+02	6.032531292282600e+02	9.198995503229895e-01	2.351371092187223e+02	1.732401632209253e-01	3.825217703160315e+01
VStab	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00
HStab	6.823202038915228e+01	4.246702499480256e+01	-8.009542744811036e-16	-1.163680775081848e+00	1.471351095270959e+03	1.006882985852015e+03	2.465312362137339e+03	-3.078738322256642e-01	-9.382998620530453e+00	2.024108963533971e+00	6.823202038915228e+01
LERX	1.211489513652485e+01	2.102965559973789e+01	5.944513316322797e-06	3.949178907670352e-01	3.399729733605502e+02	6.636427630280454e+01	4.058145655266550e+02	-1.133353011704048e-01	-3.167095011815751e-01	7.135816156398575e-02	1.211489513652485e+01
Wing hardpoints	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00
Wing hardpoints	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00
A2A - AIM 120C (fuse mounted)	2.665737813310813e+00	2.870614079965044e+01	2.749999999999996e+00	-1.065573770491801e+00	1.989152117016305e-01	3.205650808047089e+01	3.214111229910522e+01	1.453005889276336e-02	-8.109170598446312e-03	5.244722532686046e-04	2.665737813310813e+00
A2A - AIM 120C (fuse mounted)	2.665737813310815e+00	2.870614079965045e+01	-2.749999999999996e+00	-1.065573770491800e+00	1.967367221721297e-01	3.205632496084756e+01	3.213911692919905e+01	-1.014583736185565e-02	-1.013351581457563e-02	-2.910596621897755e-04	2.665737813310815e+00
AIM 120C (inboard)	2.665803308813199e+00	2.870607793238977e+01	7.340171004195041e+00	-1.800000527441343e+00	2.058741095945583e-01	3.206232539121063e+01	3.214382627314254e+01	-1.781565111023392e-02	-2.126078754107403e-02	1.698635634515397e-03	2.665803308813199e+00
AIM 120C (inboard)	2.665803308813194e+00	2.870607793238980e+01	-7.340171004195055e+00	-1.800000527441346e+00	1.996596771937578e-01	3.206255336974476e+01	3.213738386220769e+01	7.516211791748696e-03	-1.936366678458153e-02	3.639783056644744e-03	2.665803308813194e+00
AIM 120C (outboard)	2.665737813310814e+00	2.870614079965054e+01	8.650000000000004e+00	-1.800000000000001e+00	2.419143575404137e-01	3.205755680077368e+01	3.218306272464132e+01	-7.614908184874040e-02	-9.905024442755553e-03	-7.361892706829122e-03	2.665737813310814e+00
AIM 120C (outboard)	2.665737813310814e+00	2.870614079965056e+01	-8.650000000000002e+00	-1.800000000000002e+00	2.411477486283647e-01	3.205766256189190e+01	3.218219035461107e+01	-8.473598521498725e-02	-1.087421362595910e-02	-6.373707483694729e-03	2.665737813310814e+00
